,TeamId,PlayerId,Field,GameStarted,SubOn,SubOff,Yellow,SecondYellow,Red,Goals,Assists,TotalPasses,AccuratePasses,AerialWon,AerialLost,Rating,ManOfTheMatch,TotalTackles,Interceptions,Fouls,OffsidesWon,TotalClearances,WasDribbled,TotalShots,ShotsOnTarget,ShotsBlocked,OwnGoals,KeyPasses,Dribbles,WasFouled,Offsides,Dispossesed,Turnovers,TotalCrosses,AccurateCrosses,TotalLongBalls,AccurateLongBalls,TotalThroughBalls,AccurateThroughBalls,Height,Weight,Ranking,Age,const
0,13.0,8040.0,2.0,26.0,1.0,6.0,5.0,0.0,0.0,15.0,13.0,1784.0,1414.0,13.0,22.0,8.02,11.0,62.0,62.0,34.0,0.0,24.0,28.0,86.0,32.0,4.0,0.0,95.0,51.0,48.0,3.0,73.0,81.0,157.0,29.0,166.0,113.0,87.0,26.0,175.0,74.0,1.0,26.0,1.0
1,15.0,48.0,2.0,36.0,0.0,2.0,0.0,0.0,0.0,22.0,14.0,1923.0,1557.0,4.0,17.0,7.9399999999999995,8.0,75.0,36.0,26.0,0.0,42.0,25.0,141.0,52.0,3.0,0.0,114.0,16.0,29.0,4.0,50.0,71.0,201.0,58.0,192.0,142.0,65.0,20.0,184.0,88.0,2.0,35.0,1.0
2,15.0,4384.0,2.0,31.0,1.0,6.0,7.0,0.0,0.0,29.0,10.0,640.0,382.0,57.0,49.0,7.87,7.0,23.0,31.0,63.0,1.0,48.0,11.0,178.0,67.0,7.0,0.0,56.0,38.0,55.0,35.0,75.0,155.0,70.0,21.0,43.0,24.0,34.0,7.0,188.0,84.0,3.0,35.0,1.0
3,32.0,3859.0,2.0,32.0,0.0,10.0,6.0,0.0,0.0,26.0,3.0,1282.0,944.0,26.0,54.0,7.66,8.0,21.0,12.0,24.0,0.0,10.0,8.0,182.0,58.0,1.0,0.0,56.0,43.0,30.0,29.0,87.0,91.0,88.0,19.0,126.0,88.0,55.0,14.0,178.0,78.0,4.0,28.0,1.0
4,15.0,1563.0,2.0,26.0,7.0,6.0,3.0,1.0,1.0,12.0,8.0,1358.0,1142.0,20.0,18.0,7.46,5.0,31.0,37.0,25.0,0.0,18.0,15.0,63.0,22.0,0.0,0.0,82.0,46.0,41.0,8.0,50.0,81.0,191.0,61.0,99.0,74.0,23.0,5.0,184.0,73.0,5.0,33.0,1.0
5,167.0,14167.0,2.0,32.0,3.0,11.0,6.0,0.0,0.0,23.0,7.0,1118.0,913.0,4.0,23.0,7.41,9.0,30.0,17.0,43.0,0.0,2.0,16.0,126.0,56.0,1.0,0.0,53.0,45.0,63.0,16.0,93.0,105.0,54.0,7.0,98.0,80.0,48.0,14.0,173.0,75.0,6.0,30.0,1.0
6,15.0,527.0,2.0,31.0,2.0,14.0,0.0,0.0,0.0,11.0,7.0,1035.0,813.0,36.0,62.0,7.41,2.0,26.0,29.0,21.0,0.0,4.0,7.0,98.0,46.0,2.0,0.0,59.0,33.0,36.0,25.0,65.0,80.0,92.0,21.0,57.0,34.0,17.0,4.0,185.0,77.0,7.0,34.0,1.0
7,26.0,17.0,2.0,32.0,1.0,6.0,6.0,0.0,0.0,9.0,7.0,1702.0,1322.0,29.0,52.0,7.33,5.0,51.0,43.0,28.0,0.0,27.0,9.0,104.0,32.0,6.0,0.0,80.0,35.0,31.0,0.0,34.0,74.0,319.0,59.0,189.0,143.0,39.0,8.0,185.0,82.0,8.0,33.0,1.0
8,13.0,18214.0,2.0,26.0,3.0,5.0,2.0,0.0,0.0,6.0,3.0,1545.0,1284.0,54.0,78.0,7.32,5.0,78.0,77.0,53.0,0.0,57.0,18.0,38.0,15.0,1.0,1.0,35.0,77.0,47.0,4.0,85.0,93.0,18.0,2.0,57.0,40.0,26.0,9.0,192.0,74.0,9.0,27.0,1.0
9,32.0,77.0,2.0,20.0,5.0,7.0,0.0,0.0,0.0,5.0,9.0,900.0,667.0,7.0,24.0,7.3,3.0,40.0,18.0,11.0,0.0,12.0,11.0,31.0,14.0,0.0,0.0,68.0,28.0,21.0,6.0,61.0,58.0,211.0,69.0,83.0,51.0,32.0,11.0,180.0,68.0,10.0,40.0,1.0
